"","annotid","n","ordinal","onset","offset","object","utterance_type","object_present","speaker","basic_level","id","subj","month","SubjectNumber","audio_video","tier"
"214","0xe781ad",2,NA,36253750,36254870,"hair","d","n","FAT","hair","46_16_audio_sparse_code.csv","46","16","46_16","audio",NA
"215","0xeb9dff",2,NA,19007860,19010380,"balloon","r","y","FAT","balloon","33_07_audio_sparse_code.csv","33","07","33_07","audio",NA
"216","0xeb9dff",2,236,2311055,2312698,"Noodle","r","y","MOT","Noodle","41_14_video_sparse_code.csv","41","14","41_14","video",NA
"217","0xebeb5a",2,218,1855929,1858130,"hippo","q","y","MOT","hippo","42_10_video_sparse_code.csv","42","10","42_10","video",NA
"218","0xebeb5a",2,NA,2179460,2182200,"movie","d","n","MOT","movie","01_14_audio_sparse_code.csv","01","14","01_14","audio",NA
"219","0xee00db",2,NA,24568480,24572510,"shirt","d","y","MOT","shirt","45_16_audio_sparse_code.csv","45","16","45_16","audio",NA
"220","0xee00db",2,NA,37304110,37305330,"door","i","y","GRM","door","02_11_audio_sparse_code.csv","02","11","02_11","audio",NA
"221","0xee3489",2,NA,39394120,39396600,"diaper","d","n","AU2","diaper","38_10_audio_sparse_code.csv","38","10","38_10","audio",NA
"222","0xee3489",2,NA,2096410,2098910,"teapot","q","y","MOT","teapot","14_13_audio_sparse_code.csv","14","13","14_13","audio",NA
"223","0xef0afe",2,NA,23284410,23285250,"stockings","d","n","SI2","stocking","04_16_audio_sparse_code.csv","04","16","04_16","audio",NA
"224","0xef0afe",2,NA,22955600,22957520,"jar","s","n","TVN","jar","12_07_audio_sparse_code.csv","12","07","12_07","audio",NA
"225","0xf18e19",2,NA,26800530,26804010,"foot","d","y","GRM","foot","38_16_audio_sparse_code.csv","38","16","38_16","audio",NA
"226","0xf18e19",2,NA,26751320,26752390,"remote","q","n","MOT","remote","43_15_audio_sparse_code.csv","43","15","43_15","audio",NA
"227","0xf5dc01",2,115,1858507,1859591,"nose","d","n","MOT","nose","25_14_video_sparse_code.csv","25","14","25_14","video",NA
"228","0xf5dc01",2,NA,9078280,9083640,"kitty+cat","q","y","GRM","kitty+cat","19_15_audio_sparse_code.csv","19","15","19_15","audio",NA
"229","0xf97782",2,NA,6122270,6125490,"milk","q","n","GRM","milk","09_16_audio_sparse_code.csv","09","16","09_16","audio",NA
"230","0xf97782",2,NA,36137030,36138780,"baby","q","y","MT2","baby","27_16_audio_sparse_code.csv","27","16","27_16","audio",NA
"231","0xfc60de",2,NA,30544770,30546740,"kitty","q","y","MOT","kitty","30_13_audio_sparse_code.csv","30","13","30_13","audio",NA
"232","0xfc60de",2,NA,3588120,3589270,"bus","s","y","TOY","bus","27_14_audio_sparse_code.csv","27","14","27_14","audio",NA
"233","0xffc5ea",2,NA,40769320,40771250,"napkin","d","y","BRO","napkin","17_10_audio_sparse_code.csv","17","10","17_10","audio",NA
"234","0xffc5ea",2,32,366401,368167,"duck","n","y","MOT","duck","41_14_video_sparse_code.csv","41","14","41_14","video",NA
