file,annotid
/Volumes/pn-opus/Seedlings/Subject_Files/17/17_11/Home_Visit/Coding/Audio_Annotation/17_11_sparse_code.cha,0xb3e570
/Volumes/pn-opus/Seedlings/Subject_Files/17/17_12/Home_Visit/Coding/Audio_Annotation/17_12_sparse_code.cha,0xaa0ae0
/Volumes/pn-opus/Seedlings/Subject_Files/17/17_15/Home_Visit/Coding/Audio_Annotation/17_15_sparse_code.cha,0x390654
/Volumes/pn-opus/Seedlings/Subject_Files/18/18_06/Home_Visit/Coding/Audio_Annotation/18_06_sparse_code.cha,0x3b5037
/Volumes/pn-opus/Seedlings/Subject_Files/18/18_09/Home_Visit/Coding/Audio_Annotation/18_09_sparse_code.cha,0xdbabea
/Volumes/pn-opus/Seedlings/Subject_Files/18/18_11/Home_Visit/Coding/Audio_Annotation/18_11_sparse_code.cha,0x52a6ca
/Volumes/pn-opus/Seedlings/Subject_Files/18/18_13/Home_Visit/Coding/Audio_Annotation/18_13_sparse_code.cha,0xd2ca7a
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_06/Home_Visit/Coding/Audio_Annotation/19_06_sparse_code.cha,0x79d691
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_07/Home_Visit/Coding/Audio_Annotation/19_07_sparse_code.cha,0x5d9a2f
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_07/Home_Visit/Coding/Audio_Annotation/19_07_sparse_code.cha,0x3fa1c6
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_09/Home_Visit/Coding/Audio_Annotation/19_09_sparse_code.cha,0x6d1252
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_09/Home_Visit/Coding/Audio_Annotation/19_09_sparse_code.cha,0xbcd201
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_10/Home_Visit/Coding/Audio_Annotation/19_10_sparse_code.cha,0x10356c
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
