"ordinal","onset","offset","object","utterance_type","object_present","speaker","basic_level","annotid","id","subj","month","SubjectNumber","audio_video","tier"
NA,23298890,23302700,"mountain","s","y","TVS","mountain","0xc70e96","10_15_audio_sparse_code.csv","10","15","10_15","audio","*TVN"
41,513706,514643,"chair","i","y","MOT","chair","0xcacac2","13_15_video_sparse_code.csv","13","15","13_15","video",NA
NA,7808060,7814380,"doggy","n","n","MOT","doggy","0xcacac2","42_12_audio_sparse_code.csv","42","12","42_12","audio","*FAN"
NA,2894770,2895660,"toes","r","y","MOT","toe","0xcb411e","42_10_audio_sparse_code.csv","42","10","42_10","audio","*FAN"
NA,20183110,20184770,"buttons","d","n","MOT","button","0xcb411e","11_15_audio_sparse_code.csv","11","15","11_15","audio","*FAN"
252,2874802,2876196,"head","s","n","TVN","head","0xcc6596","44_14_video_sparse_code.csv","44","14","44_14","video",NA
NA,11228080,11230890,"duck","q","y","MOT","duck","0xcc6596","33_09_audio_sparse_code.csv","33","09","33_09","audio","*FAN"
57,489430,490453,"legs","i","n","MOT","leg","0xccbe30","45_13_video_sparse_code.csv","45","13","45_13","video",NA
225,489430,490453,"legs","i","y","MOT","leg","0xccbe30","45_13_video_sparse_code.csv","45","13","45_13","video",NA
NA,15747170,15751280,"salmon","d","n","FAT","salmon","0xd19fb6","11_15_audio_sparse_code.csv","11","15","11_15","audio","*MAN"
NA,22036370,22037430,"blanky","n","y","SI2","blanky","0xd19fb6","04_16_audio_sparse_code.csv","04","16","04_16","audio","*FAN"
127,2307597,2309248,"Winnie+the+pooh","s","n","TVS","Winnie+the+pooh","0xd6b356","23_13_video_sparse_code.csv","23","13","23_13","video",NA
NA,25557500,25560300,"Touch+and+feel+abcs","n","y","MOT","Touch+and+feel+abcs","0xd6b356","42_12_audio_sparse_code.csv","42","12","42_12","audio","*FAN"
26,687820,689142,"nose","d","y","MOT","nose","0xd739f3","25_14_video_sparse_code.csv","25","14","25_14","video",NA
NA,2014940,2016590,"monkey","r","y","FAT","monkey","0xd739f3","35_13_audio_sparse_code.csv","35","13","35_13","audio","*MAN"
21,283000,284903,"Mr+gavin","n","y","MOT","Mr+gavin","0xd8bd76","42_14_video_sparse_code.csv","42","14","42_14","video",NA
611,2473447,2474973,"apples","d","n","MOT","apple","0xd8bd76","33_17_video_sparse_code.csv","33","17","33_17","video",NA
NA,31149880,31152340,"Skye","q","n","MOT","Skye","0xdea95d","10_08_audio_sparse_code.csv","10","08","10_08","audio","*OLN"
NA,25681810,25682620,"truck","n","y","MOT","truck","0xdea95d","12_15_audio_sparse_code.csv","12","15","12_15","audio","*OLN"
NA,18627680,18628760,"eye","d","y","MT2","eye","0xe4d5f9","27_06_audio_sparse_code.csv","27","06","27_06","audio","*FAN"
NA,5355120,5355940,"teeth","d","y","MOT","tooth","0xe4d5f9","42_15_audio_sparse_code.csv","42","15","42_15","audio","*OLN"
68,1042983,1044689,"Cookie+monster","d","n","MOT","Cookie+monster","0xe568c1","18_08_video_sparse_code.csv","18","08","18_08","video",NA
14,306238,307938,"camera","i","n","MOT","camera","0xe568c1","14_14_video_sparse_code.csv","14","14","14_14","video",NA
NA,41379930,41380740,"mohawk","n","y","SI2","mohawk","0xe7004d","36_14_audio_sparse_code.csv","36","14","36_14","audio","*CXN"
NA,6601040,6603010,"buttons","i","y","GRM","button","0xe7004d","09_16_audio_sparse_code.csv","09","16","09_16","audio","*MAN"
236,2311055,2312698,"Noodle","r","y","MOT","Noodle","0xeb9dff","41_14_video_sparse_code.csv","41","14","41_14","video",NA
NA,19007860,19010380,"balloon","r","y","FAT","balloon","0xeb9dff","33_07_audio_sparse_code.csv","33","07","33_07","audio","*MAN"
218,1855929,1858130,"hippo","q","y","MOT","hippo","0xebeb5a","42_10_video_sparse_code.csv","42","10","42_10","video",NA
NA,2179460,2182200,"movie","d","n","MOT","movie","0xebeb5a","01_14_audio_sparse_code.csv","01","14","01_14","audio","*MAN"
NA,26751320,26752390,"remote","q","n","MOT","remote","0xf18e19","43_15_audio_sparse_code.csv","43","15","43_15","audio","*MAN"
NA,26800530,26804010,"foot","d","y","GRM","foot","0xf18e19","38_16_audio_sparse_code.csv","38","16","38_16","audio","*FAN"
115,1858507,1859591,"nose","d","n","MOT","nose","0xf5dc01","25_14_video_sparse_code.csv","25","14","25_14","video",NA
NA,9078280,9083640,"kitty+cat","q","y","GRM","kitty+cat","0xf5dc01","19_15_audio_sparse_code.csv","19","15","19_15","audio","*FAN"
NA,30544770,30546740,"kitty","q","y","MOT","kitty","0xfc60de","30_13_audio_sparse_code.csv","30","13","30_13","audio","*FAN"
NA,3588120,3589270,"bus","s","y","TOY","bus","0xfc60de","27_14_audio_sparse_code.csv","27","14","27_14","audio","*OLN"
32,366401,368167,"duck","n","y","MOT","duck","0xffc5ea","41_14_video_sparse_code.csv","41","14","41_14","video",NA
NA,40769320,40771250,"napkin","d","y","BRO","napkin","0xffc5ea","17_10_audio_sparse_code.csv","17","10","17_10","audio","*OLN"
